campaign,brand,year,headline,rhetoricalDevices,rationale,outcome,whenToUse,whenNotToUse
The Fun Theory,Volkswagen,2009,Fun Can Change Behaviour for the Better.,"Juxtaposition, Personification",Showed how adding fun motivates positive choices.,Won Cannes Grand Prix.,When promoting behavior change.,When seriousness is critical.
Hello Tomorrow,Air France,2012,Make the Sky the Best Place on Earth.,"Hyperbole, Metaphor",Elevated air travel beyond transportation.,Repositioned brand luxury image.,When elevating everyday experiences.,When practical benefits are the focus.
Shot on iPhone,Apple,2015,"Everyday, More Photos are Taken on iPhone.",Appeal to Popularity,Showed social proof and ubiquity.,Became an iconic global campaign.,When demonstrating wide adoption.,When niche positioning is important.
This Girl Can,Sport England,2015,"Sweating Like a Pig, Feeling Like a Fox.","Metaphor, Contrast",Challenged stereotypes about women and fitness.,Inspired millions of women to get active.,When empowering underrepresented groups.,When tone must remain neutral.
Like a Girl,Always,2014,Rewrite the Rules.,"Imperative, Metaphor",Reclaimed 'like a girl' as empowering.,Won multiple Cannes Lions.,When reclaiming negative language.,When tone is celebratory without critique.
Impossible is Nothing,Adidas,2004,Impossible is Nothing.,Antithesis,Motivated audiences by negating limits.,Strengthened Adidas brand purpose.,When inspiring ambitious goals.,When delivering pragmatic messaging.
Live Young,Evian,2009,Live Young.,Imperative,Associated product with vitality.,Created viral Baby Roller commercial.,When connecting to youthfulness.,When emphasizing sophistication.
The Other Side,Honda,2014,The Power of Duality.,Metaphor,Used interactive film to show contrasting stories.,Won Cannes Cyber Lions.,When demonstrating product versatility.,When simplicity is key.
Thank You Mom,P&G,2012,The Hardest Job in the World is the Best Job in the World.,"Antithesis, Emotional Appeal",Honored mothers' sacrifices and love.,One of P&G's most beloved campaigns.,When evoking gratitude.,When humor is required.
Fearless Girl,State Street Global Advisors,2017,She Makes a Difference.,Personification,Statue symbolized female empowerment.,Became a global icon.,When promoting equality.,When subtlety is preferred.
Share the Load,Ariel,2015,Why is Laundry Only a Mother's Job?,Rhetorical Question,Highlighted gender inequality in chores.,Won Cannes Glass Lion.,When tackling social norms.,When tone should remain neutral.
Whopper Detour,Burger King,2018,Order a Whopper for 1¢ at McDonald's.,"Humor, Provocation",Hijacked competitors to drive app installs.,Record digital engagement.,When bold brand personality fits.,When avoiding controversy.
Gorilla,Cadbury,2007,A Glass and a Half Full of Joy.,Metaphor,Used humor and surrealism to spark emotion.,Transformed brand perception.,When aiming for emotional resonance.,When requiring rational persuasion.
Proud Whopper,Burger King,2014,We Are All the Same Inside.,Metaphor,Promoted LGBTQ+ acceptance.,Won Cannes Grand Prix.,When promoting inclusivity.,When avoiding sociopolitical statements.
America Runs on Dunkin',Dunkin',2006,America Runs on Dunkin'.,Hyperbole,Positioned brand as daily essential.,Grew brand awareness rapidly.,When emphasizing ubiquity.,When targeting niche segments.
Find Your Greatness,Nike,2012,Greatness is Wherever Somebody is Trying to Find It.,Antithesis,Democratized the idea of greatness.,Enhanced brand inclusivity.,When broadening an aspirational message.,When highlighting elite performance.
Red Bull Stratos,Red Bull,2012,Mission to the Edge of Space.,Hyperbole,Demonstrated brand's extreme ethos.,Broke viewership records.,When showcasing innovation.,When avoiding risk associations.
Endangered Syndrome,Canadian Down Syndrome Society,2018,People with Down Syndrome are Going Extinct.,Shock Value,Created urgency about prenatal screening.,Sparked global conversation.,When awareness requires urgency.,When sensitivity is paramount.
Love Has No Labels,Ad Council,2015,Love Has No Labels.,Metaphor,Promoted diversity and inclusion.,Became a viral PSA.,When addressing bias.,When neutrality is required.
Feel More,Sony Bravia,2005,Colour Like No Other.,Hyperbole,Highlighted product distinction through spectacle.,Famous bouncing balls spot.,When demonstrating product uniqueness.,When budgets are small.
The Truth is Worth It,The New York Times,2018,The Truth is Hard.,Anaphora,Emphasized investigative rigor.,Won Cannes Grand Prix.,When credibility matters.,When tone is celebratory.
Dumb Ways to Die,Metro Trains Melbourne,2012,Be Safe Around Trains.,Irony,Used dark humor for safety education.,Most shared public service ad ever.,When needing viral impact.,When tone must be serious.
Dear Sophie,Google Chrome,2011,The Web is What You Make of It.,Empowerment,Demonstrated personal storytelling.,Humanized the product.,When showing emotional connection.,When focusing on technical specs.
The Best Men Can Be,Gillette,2019,Is This the Best a Man Can Get?,Rhetorical Question,Addressed toxic masculinity.,Sparked cultural debate.,When brands take a stand.,When avoiding controversy.
The Most Interesting Man in the World,Dos Equis,2006,"Stay Thirsty, My Friends.","Character Personification, Humor",Created a legendary persona to elevate brand status.,Drove double-digit sales growth.,When storytelling builds mystique.,When tone must be strictly factual.
Find Your Magic,AXE,2016,Find Your Magic.,Imperative,Shifted brand away from stereotypes toward individuality.,Repositioned AXE for a new generation.,When challenging outdated norms.,When clarity about product function is critical.
Born of Fire,Chrysler,2011,Imported from Detroit.,Irony,Reframed domestic manufacturing as aspirational.,Eminem Super Bowl spot revived the brand.,When redefining local pride.,When origin is not differentiating.
You're Not You When You're Hungry,Snickers,2010,You're Not You When You're Hungry.,"Humor, Metaphor",Personified hunger to connect emotionally.,Became a global platform.,When humor suits brand voice.,When tone must remain serious.
Unhate,Benetton,2011,Unhate.,Neologism,Provoked dialogue about tolerance.,Won Cannes Press Grand Prix.,When brand purpose is central.,When controversy is a risk.
Melbourne Remote Control Tourist,Tourism Victoria,2013,Go Before You Go.,"Imperative, Wordplay",Enabled virtual exploration.,Increased tourism engagement.,When interactivity is a differentiator.,When budget limits tech execution.
We Are the Superhumans,Channel 4,2016,Meet the Superhumans.,Metaphor,Celebrated Paralympians' achievements.,Won Grand Prix for Film Craft.,When showcasing extraordinary people.,When tone must be understated.
"Big Game, Small Ads",Newcastle Brown Ale,2014,If We Made It.,Hypothetical,Parodied Super Bowl advertising excess.,Drove earned media.,When humor aligns with brand DNA.,When credibility is critical.
The Last Selfie,WWF,2014,Don't Let This Be My Last Selfie.,Pathos,Used social platforms for urgency.,Significant awareness uplift.,When visual impact drives action.,When tone must be neutral.
Dream Crazy,Nike,2018,Believe in Something.,Imperative,Stood with controversial figures.,Won Emmy for Outstanding Commercial.,When taking a stand.,When avoiding divisiveness.
Monty the Penguin,John Lewis,2014,Give Someone the Christmas They've Been Dreaming Of.,Emotional Appeal,Used storytelling for holiday retail.,Massive sales uplift.,When sentiment suits the occasion.,When budget is constrained.
The Breakthrough,Volvo Trucks,2014,The Epic Split.,Hyperbole,Demonstrated stability with spectacle.,Viral success.,When product demonstration is key.,When realism is mandatory.
Magic of Flying,British Airways,2013,Look Up.,Imperative,Billboards reacted to planes overhead.,Increased brand engagement.,When interactivity is a differentiator.,When simplicity is critical.
Open Your World,Heineken,2011,Open Your World.,Imperative,Encouraged cultural exploration.,Strengthened global brand perception.,When promoting openness.,When focusing on tradition.
